tourney_id,tourney_name,tourney_date,surface,winner_id,loser_id,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,winner_name_full,winner_hand,winner_birthdate,winner_country,loser_name_full,loser_hand,loser_birthdate,loser_country,winner_age_calc,loser_age_calc,w_1st_pct,l_1st_pct,w_1st_won_pct,l_1st_won_pct,w_bp_saved_pct,diff_age
2000-339,Adelaide,2000-01-03,Hard,102765,103385,6-7(5) 7-5 6-3,3,R32,129.0,4.0,2.0,102.0,65.0,49.0,20.0,17.0,1.0,3.0,9.0,13.0,108.0,53.0,37.0,27.0,16.0,3.0,7.0,37.0,637.0,654.0,24.0,Nicolas Escude,Right,1976-04-03,FRA,Paul Baccanello,Right,1979-06-12,AUS,23.0,20.0,63.725490196078425,49.074074074074076,75.38461538461539,69.81132075471697,33.33333333333333,3.0
2000-339,Adelaide,2000-01-03,Hard,101792,103344,6-4 6-2,3,R32,62.0,1.0,1.0,53.0,37.0,26.0,11.0,9.0,1.0,2.0,2.0,1.0,57.0,35.0,23.0,8.0,9.0,3.0,7.0,63.0,575.0,77.0,372.0,Slava Dosedel,Right,1970-08-14,CZE,Ivan Ljubicic,Right,1979-03-19,CRO,29.0,20.0,69.81132075471697,61.40350877192983,70.27027027027027,65.71428571428571,50.0,9.0
2000-339,Adelaide,2000-01-03,Hard,103444,101833,7-6(4) 6-7(4) 6-4,3,R32,134.0,5.0,1.0,106.0,72.0,57.0,17.0,17.0,6.0,8.0,8.0,12.0,122.0,67.0,57.0,22.0,17.0,3.0,6.0,138.0,306.0,351.0,80.0,Jean Rene Lisnard,Right,1979-09-25,MON,Michael Tebbutt,Left,1970-12-22,AUS,20.0,29.0,67.9245283018868,54.91803278688525,79.16666666666666,85.07462686567165,75.0,-9.0
2000-339,Adelaide,2000-01-03,Hard,102450,102607,6-4 7-6(4),3,R32,101.0,5.0,5.0,83.0,49.0,38.0,17.0,11.0,10.0,11.0,2.0,5.0,80.0,55.0,40.0,12.0,11.0,8.0,10.0,12.0,1465.0,216.0,97.0,Tim Henman,Right,1974-09-06,GBR,Juan Balcells,Right,1975-06-20,ESP,25.0,24.0,59.036144578313255,68.75,77.55102040816327,72.72727272727273,90.9090909090909,1.0
2000-339,Adelaide,2000-01-03,Hard,102358,103819,7-6(5) 6-4,3,R16,84.0,3.0,2.0,71.0,37.0,30.0,23.0,11.0,3.0,3.0,7.0,2.0,83.0,42.0,31.0,22.0,11.0,1.0,2.0,4.0,1850.0,64.0,515.0,Thomas Enqvist,Right,1974-03-13,SWE,Roger Federer,Right,1981-08-08,SUI,25.0,18.0,52.112676056338024,50.602409638554214,81.08108108108108,73.80952380952381,100.0,7.0
2000-339,Adelaide,2000-01-03,Hard,103206,102998,3-6 7-6(4) 6-2,3,R16,115.0,12.0,4.0,100.0,49.0,39.0,29.0,14.0,2.0,3.0,8.0,4.0,84.0,45.0,35.0,25.0,15.0,2.0,4.0,27.0,928.0,58.0,544.0,Sebastien Grosjean,Right,1978-05-29,FRA,Jan Michael Gambill,Right,1977-06-03,USA,21.0,22.0,49.0,53.57142857142857,79.59183673469387,77.77777777777779,66.66666666666666,-1.0
2000-339,Adelaide,2000-01-03,Hard,102796,101735,7-5 6-4,3,R16,86.0,3.0,6.0,78.0,47.0,34.0,18.0,11.0,5.0,6.0,11.0,2.0,56.0,40.0,28.0,9.0,11.0,1.0,4.0,15.0,1244.0,78.0,368.0,Magnus Norman,Right,1976-05-30,SWE,Richard Fromberg,Right,1970-04-28,AUS,23.0,29.0,60.256410256410255,71.42857142857143,72.3404255319149,70.0,83.33333333333334,-6.0
2000-339,Adelaide,2000-01-03,Hard,103252,102872,7-6(2) 7-6(5),3,R16,103.0,1.0,4.0,86.0,62.0,43.0,11.0,12.0,2.0,5.0,2.0,5.0,78.0,46.0,34.0,13.0,12.0,2.0,5.0,57.0,635.0,144.0,279.0,Alberto Martin,Right,1978-08-20,ESP,James Sekulov,Right,1976-10-13,AUS,21.0,23.0,72.09302325581395,58.97435897435898,69.35483870967742,73.91304347826086,40.0,-2.0
2000-339,Adelaide,2000-01-03,Hard,103720,103162,6-0 6-2,3,R16,66.0,2.0,0.0,55.0,26.0,18.0,18.0,7.0,5.0,5.0,1.0,5.0,41.0,26.0,13.0,4.0,7.0,1.0,6.0,25.0,955.0,205.0,197.0,Lleyton Hewitt,Right,1981-02-24,AUS,Dejan Petrovic,Right,1978-04-03,SRB,18.0,21.0,47.27272727272727,63.41463414634146,69.23076923076923,50.0,100.0,-3.0
2000-339,Adelaide,2000-01-03,Hard,101727,102652,3-6 6-4 6-4,3,R16,109.0,7.0,5.0,94.0,53.0,35.0,24.0,15.0,6.0,10.0,2.0,5.0,81.0,44.0,25.0,23.0,14.0,2.0,6.0,80.0,339.0,230.0,151.0,Jason Stoltenberg,Right,1970-04-04,AUS,Christian Vinck,Left,1975-09-03,GER,29.0,24.0,56.38297872340425,54.32098765432099,66.0377358490566,56.81818181818182,60.0,5.0
2000-339,Adelaide,2000-01-03,Hard,102765,101792,7-6(5) 6-4,3,R16,101.0,6.0,2.0,81.0,41.0,31.0,20.0,11.0,7.0,9.0,1.0,2.0,74.0,49.0,33.0,12.0,11.0,6.0,9.0,37.0,637.0,63.0,575.0,Nicolas Escude,Right,1976-04-03,FRA,Slava Dosedel,Right,1970-08-14,CZE,23.0,29.0,50.617283950617285,66.21621621621621,75.60975609756098,67.3469387755102,77.77777777777779,-6.0
2000-339,Adelaide,2000-01-03,Hard,102450,103444,3-6 6-4 6-2,3,R16,114.0,5.0,5.0,83.0,43.0,36.0,21.0,13.0,7.0,8.0,1.0,4.0,99.0,50.0,29.0,30.0,14.0,10.0,13.0,12.0,1465.0,138.0,306.0,Tim Henman,Right,1974-09-06,GBR,Jean Rene Lisnard,Right,1979-09-25,MON,25.0,20.0,51.80722891566265,50.505050505050505,83.72093023255815,57.99999999999999,87.5,5.0
2000-339,Adelaide,2000-01-03,Hard,102358,103206,7-6(1) 7-5,3,QF,96.0,5.0,3.0,68.0,35.0,29.0,18.0,12.0,0.0,2.0,8.0,2.0,89.0,38.0,24.0,27.0,12.0,6.0,9.0,4.0,1850.0,27.0,928.0,Thomas Enqvist,Right,1974-03-13,SWE,Sebastien Grosjean,Right,1978-05-29,FRA,25.0,21.0,51.470588235294116,42.69662921348314,82.85714285714286,63.1578947368421,0.0,4.0
2000-339,Adelaide,2000-01-03,Hard,102796,103252,6-4 6-3,3,QF,85.0,2.0,5.0,59.0,29.0,24.0,14.0,10.0,2.0,4.0,2.0,4.0,68.0,40.0,19.0,14.0,9.0,9.0,13.0,15.0,1244.0,57.0,635.0,Magnus Norman,Right,1976-05-30,SWE,Alberto Martin,Right,1978-08-20,ESP,23.0,21.0,49.152542372881356,58.82352941176471,82.75862068965517,47.5,50.0,2.0
2000-339,Adelaide,2000-01-03,Hard,103720,101727,6-2 6-2,3,QF,70.0,1.0,0.0,51.0,24.0,18.0,15.0,8.0,1.0,2.0,8.0,4.0,53.0,31.0,19.0,6.0,8.0,3.0,8.0,25.0,955.0,80.0,339.0,Lleyton Hewitt,Right,1981-02-24,AUS,Jason Stoltenberg,Right,1970-04-04,AUS,18.0,29.0,47.05882352941176,58.490566037735846,75.0,61.29032258064516,50.0,-11.0
2000-339,Adelaide,2000-01-03,Hard,102765,102450,6-3 6-1,3,QF,75.0,2.0,1.0,50.0,31.0,26.0,9.0,8.0,2.0,2.0,2.0,6.0,66.0,37.0,21.0,12.0,8.0,8.0,12.0,37.0,637.0,12.0,1465.0,Nicolas Escude,Right,1976-04-03,FRA,Tim Henman,Right,1974-09-06,GBR,23.0,25.0,62.0,56.060606060606055,83.87096774193549,56.75675675675676,100.0,-2.0
2000-339,Adelaide,2000-01-03,Hard,102358,102796,3-6 6-2 6-2,3,SF,91.0,8.0,5.0,81.0,35.0,28.0,24.0,13.0,4.0,6.0,7.0,3.0,71.0,41.0,28.0,14.0,12.0,2.0,6.0,4.0,1850.0,15.0,1244.0,Thomas Enqvist,Right,1974-03-13,SWE,Magnus Norman,Right,1976-05-30,SWE,25.0,23.0,43.20987654320987,57.74647887323944,80.0,68.29268292682927,66.66666666666666,2.0
2000-339,Adelaide,2000-01-03,Hard,103720,102765,3-6 6-1 6-4,3,SF,115.0,4.0,1.0,82.0,40.0,26.0,27.0,13.0,3.0,5.0,10.0,4.0,81.0,36.0,27.0,19.0,13.0,0.0,4.0,25.0,955.0,37.0,637.0,Lleyton Hewitt,Right,1981-02-24,AUS,Nicolas Escude,Right,1976-04-03,FRA,18.0,23.0,48.78048780487805,44.44444444444444,65.0,75.0,60.0,-5.0
2000-339,Adelaide,2000-01-03,Hard,103720,102358,3-6 6-3 6-2,3,F,96.0,7.0,4.0,72.0,30.0,26.0,26.0,13.0,3.0,4.0,8.0,1.0,79.0,44.0,35.0,16.0,13.0,3.0,6.0,25.0,955.0,4.0,1850.0,Lleyton Hewitt,Right,1981-02-24,AUS,Thomas Enqvist,Right,1974-03-13,SWE,18.0,25.0,41.66666666666667,55.69620253164557,86.66666666666667,79.54545454545455,75.0,-7.0
2000-891,Chennai,2000-01-03,Hard,103420,102338,6-4 6-2,3,R32,65.0,3.0,1.0,57.0,37.0,25.0,12.0,9.0,2.0,3.0,4.0,5.0,57.0,23.0,16.0,13.0,9.0,3.0,7.0,123.0,339.0,2.0,2733.0,Michal Tabara,Right,1979-08-11,CZE,Yevgeny Kafelnikov,Right,1974-02-18,RUS,20.0,25.0,64.91228070175438,40.35087719298245,67.56756756756756,69.56521739130434,66.66666666666666,-5.0
2000-891,Chennai,2000-01-03,Hard,102455,102720,7-5 6-2,3,R32,80.0,10.0,1.0,69.0,42.0,31.0,16.0,10.0,4.0,4.0,4.0,2.0,70.0,50.0,31.0,9.0,10.0,5.0,8.0,115.0,230.0,111.0,323.0,Lorenzo Manta,Right,1974-09-16,SUI,Tomas Zib,Right,1976-01-31,CZE,25.0,23.0,60.86956521739131,71.42857142857143,73.80952380952381,62.0,100.0,2.0
2000-891,Chennai,2000-01-03,Hard,102093,103294,6-3 6-0,3,R32,50.0,7.0,0.0,46.0,26.0,23.0,12.0,8.0,1.0,1.0,1.0,1.0,37.0,17.0,8.0,9.0,7.0,1.0,5.0,104.0,296.0,121.0,293.0,Martin Damm,Right,1972-08-01,CZE,Christophe Rochus,Right,1978-12-15,BEL,27.0,21.0,56.52173913043478,45.94594594594595,88.46153846153845,47.05882352941176,100.0,6.0
2000-891,Chennai,2000-01-03,Hard,101086,104156,6-4 6-4,3,R32,82.0,3.0,0.0,64.0,35.0,26.0,19.0,10.0,2.0,3.0,2.0,3.0,62.0,32.0,22.0,16.0,10.0,1.0,4.0,96.0,416.0,1199.0,3.0,Ronald Agenor,Right,1964-11-13,USA,Sunil Kumar,Right,1983-04-04,IND,35.0,16.0,54.6875,51.61290322580645,74.28571428571429,68.75,66.66666666666666,19.0
2000-891,Chennai,2000-01-03,Hard,102259,102689,6-3 6-4,3,R32,81.0,8.0,2.0,65.0,43.0,33.0,14.0,10.0,4.0,4.0,6.0,2.0,61.0,21.0,14.0,23.0,9.0,2.0,4.0,35.0,666.0,201.0,191.0,Jerome Golmard,Left,1973-09-09,FRA,Martin Spottl,Right,1975-11-23,AUT,26.0,24.0,66.15384615384615,34.42622950819672,76.74418604651163,66.66666666666666,100.0,2.0
